Currency Code|Conversion Rate|Base Currency|Conversion Date|Load Timestamp
DKK|6.5811120918|USD|2020-06-05|2020-06-07 02:01:58.071666
HUF|304.1659311562|USD|2020-06-05|2020-06-07 02:01:58.071685
CZK|23.4677846425|USD|2020-06-05|2020-06-07 02:01:58.071704
GBP|0.7894792586|USD|2020-06-05|2020-06-07 02:01:58.071724
RON|4.2702559576|USD|2020-06-05|2020-06-07 02:01:58.071744
SEK|9.2012356575|USD|2020-06-05|2020-06-07 02:01:58.071764
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 02:01:58.071784
INR|75.5781112092|USD|2020-06-05|2020-06-07 02:01:58.071802
BRL|5.059929391|USD|2020-06-05|2020-06-07 02:01:58.071819
RUB|68.6809355693|USD|2020-06-05|2020-06-07 02:01:58.071838
HRK|6.6827007944|USD|2020-06-05|2020-06-07 02:01:58.071856
JPY|109.2409532215|USD|2020-06-05|2020-06-07 02:01:58.071873
THB|31.4651368049|USD|2020-06-05|2020-06-07 02:01:58.071892
CHF|0.9590467785|USD|2020-06-05|2020-06-07 02:01:58.071912
EUR|0.8826125331|USD|2020-06-05|2020-06-07 02:01:58.071931
MYR|4.2669902913|USD|2020-06-05|2020-06-07 02:01:58.071959
BGN|1.7262135922|USD|2020-06-05|2020-06-07 02:01:58.071990
TRY|6.7737864078|USD|2020-06-05|2020-06-07 02:01:58.072010
CNY|7.0917034422|USD|2020-06-05|2020-06-07 02:01:58.072029
NOK|9.3030008826|USD|2020-06-05|2020-06-07 02:01:58.072049
NZD|1.5350397176|USD|2020-06-05|2020-06-07 02:01:58.072069
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 02:01:58.072086
USD|1.0|USD|2020-06-05|2020-06-07 02:01:58.072103
MXN|21.7533980583|USD|2020-06-05|2020-06-07 02:01:58.072122
SGD|1.392321271|USD|2020-06-05|2020-06-07 02:01:58.072140
AUD|1.4322153575|USD|2020-06-05|2020-06-07 02:01:58.072159
ILS|3.4573698147|USD|2020-06-05|2020-06-07 02:01:58.072177
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 02:01:58.072196
PLN|3.9210061783|USD|2020-06-05|2020-06-07 02:01:58.072216
CAD|1.3448367167|USD|2020-06-05|2020-06-07 02:04:13.026528
HKD|7.7501323919|USD|2020-06-05|2020-06-07 02:04:13.026538
ISK|131.4210061783|USD|2020-06-05|2020-06-07 02:04:13.026543
PHP|49.8296557811|USD|2020-06-05|2020-06-07 02:04:13.026547
DKK|6.5811120918|USD|2020-06-05|2020-06-07 02:04:13.026551
HUF|304.1659311562|USD|2020-06-05|2020-06-07 02:04:13.026555
CZK|23.4677846425|USD|2020-06-05|2020-06-07 02:04:13.026559
GBP|0.7894792586|USD|2020-06-05|2020-06-07 02:04:13.026563
RON|4.2702559576|USD|2020-06-05|2020-06-07 02:04:13.026567
SEK|9.2012356575|USD|2020-06-05|2020-06-07 02:04:13.026571
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 02:04:13.026575
INR|75.5781112092|USD|2020-06-05|2020-06-07 02:04:13.026579
BRL|5.059929391|USD|2020-06-05|2020-06-07 02:04:13.026583
RUB|68.6809355693|USD|2020-06-05|2020-06-07 02:04:13.026587
HRK|6.6827007944|USD|2020-06-05|2020-06-07 02:04:13.026590
JPY|109.2409532215|USD|2020-06-05|2020-06-07 02:04:13.026594
THB|31.4651368049|USD|2020-06-05|2020-06-07 02:04:13.026598
CHF|0.9590467785|USD|2020-06-05|2020-06-07 02:04:13.026602
EUR|0.8826125331|USD|2020-06-05|2020-06-07 02:04:13.026606
MYR|4.2669902913|USD|2020-06-05|2020-06-07 02:04:13.026609
BGN|1.7262135922|USD|2020-06-05|2020-06-07 02:04:13.026613
TRY|6.7737864078|USD|2020-06-05|2020-06-07 02:04:13.026617
CNY|7.0917034422|USD|2020-06-05|2020-06-07 02:04:13.026621
NOK|9.3030008826|USD|2020-06-05|2020-06-07 02:04:13.026624
NZD|1.5350397176|USD|2020-06-05|2020-06-07 02:04:13.026628
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 02:04:13.026632
USD|1.0|USD|2020-06-05|2020-06-07 02:04:13.026636
MXN|21.7533980583|USD|2020-06-05|2020-06-07 02:04:13.026640
SGD|1.392321271|USD|2020-06-05|2020-06-07 02:04:13.026643
AUD|1.4322153575|USD|2020-06-05|2020-06-07 02:04:13.026647
ILS|3.4573698147|USD|2020-06-05|2020-06-07 02:04:13.026651
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 02:04:13.026655
PLN|3.9210061783|USD|2020-06-05|2020-06-07 02:04:13.026659
CAD|1.3448367167|USD|2020-06-05|2020-06-07 02:06:10.678654
HKD|7.7501323919|USD|2020-06-05|2020-06-07 02:06:10.678675
ISK|131.4210061783|USD|2020-06-05|2020-06-07 02:06:10.678683
PHP|49.8296557811|USD|2020-06-05|2020-06-07 02:06:10.678690
DKK|6.5811120918|USD|2020-06-05|2020-06-07 02:06:10.678698
HUF|304.1659311562|USD|2020-06-05|2020-06-07 02:06:10.678705
CZK|23.4677846425|USD|2020-06-05|2020-06-07 02:06:10.678712
GBP|0.7894792586|USD|2020-06-05|2020-06-07 02:06:10.678719
RON|4.2702559576|USD|2020-06-05|2020-06-07 02:06:10.678727
SEK|9.2012356575|USD|2020-06-05|2020-06-07 02:06:10.678735
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 02:06:10.678743
INR|75.5781112092|USD|2020-06-05|2020-06-07 02:06:10.678750
BRL|5.059929391|USD|2020-06-05|2020-06-07 02:06:10.678757
RUB|68.6809355693|USD|2020-06-05|2020-06-07 02:06:10.678765
HRK|6.6827007944|USD|2020-06-05|2020-06-07 02:06:10.678772
JPY|109.2409532215|USD|2020-06-05|2020-06-07 02:06:10.678779
THB|31.4651368049|USD|2020-06-05|2020-06-07 02:06:10.678785
CHF|0.9590467785|USD|2020-06-05|2020-06-07 02:06:10.678793
EUR|0.8826125331|USD|2020-06-05|2020-06-07 02:06:10.678800
MYR|4.2669902913|USD|2020-06-05|2020-06-07 02:06:10.678806
BGN|1.7262135922|USD|2020-06-05|2020-06-07 02:06:10.678813
TRY|6.7737864078|USD|2020-06-05|2020-06-07 02:06:10.678820
CNY|7.0917034422|USD|2020-06-05|2020-06-07 02:06:10.678828
NOK|9.3030008826|USD|2020-06-05|2020-06-07 02:06:10.678835
NZD|1.5350397176|USD|2020-06-05|2020-06-07 02:06:10.678842
ZAR|16.8422771403|USD|2020-06-05|2020-06-07 02:06:10.678850
USD|1.0|USD|2020-06-05|2020-06-07 02:06:10.678857
MXN|21.7533980583|USD|2020-06-05|2020-06-07 02:06:10.678864
SGD|1.392321271|USD|2020-06-05|2020-06-07 02:06:10.678872
AUD|1.4322153575|USD|2020-06-05|2020-06-07 02:06:10.678879
ILS|3.4573698147|USD|2020-06-05|2020-06-07 02:06:10.678886
KRW|1205.2691968226|USD|2020-06-05|2020-06-07 02:06:10.678893
PLN|3.9210061783|USD|2020-06-05|2020-06-07 02:06:10.678900
CAD|1.3448367167|USD|2020-06-05|2020-06-07 02:07:22.694322
HKD|7.7501323919|USD|2020-06-05|2020-06-07 02:07:22.694329
ISK|131.4210061783|USD|2020-06-05|2020-06-07 02:07:22.694333
PHP|49.8296557811|USD|2020-06-05|2020-06-07 02:07:22.694337
DKK|6.5811120918|USD|2020-06-05|2020-06-07 02:07:22.694341
HUF|304.1659311562|USD|2020-06-05|2020-06-07 02:07:22.694345
CZK|23.4677846425|USD|2020-06-05|2020-06-07 02:07:22.694349
GBP|0.7894792586|USD|2020-06-05|2020-06-07 02:07:22.694353
RON|4.2702559576|USD|2020-06-05|2020-06-07 02:07:22.694357
SEK|9.2012356575|USD|2020-06-05|2020-06-07 02:07:22.694361
IDR|14018.0052956752|USD|2020-06-05|2020-06-07 02:07:22.694365
INR|75.5781112092|USD|2020-06-05|2020-06-07 02:07:22.694368
BRL|5.059929391|USD|2020-06-05|2020-06-07 02:07:22.694372
RUB|68.6809355693|USD|2020-06-05|2020-06-07 02:07:22.694376
HRK|6.6827007944|USD|2020-06-05|2020-06-07 02:07:22.694380
JPY|109.2409532215|USD|2020-06-05|2020-06-07 02:07:22.694384
THB|31.4651368049|USD|2020-06-05|2020-06-07 02:07:22.694387
CHF|0.9590467785|USD|2020-06-05|2020-06-07 02:07:22.694391
EUR|0.8826125331|USD|2020-06-05|2020-06-07 02:07:22.694395
MYR|4.2669902913|USD|2020-06-05|2020-06-07 02:07:22.694399
